                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.50923,                  0.846,                0.98251,                0.96917,                0.74827,                0.87475,                0.74463,                0.70143,                0.88842,                 1.1196,             0.00087031,             0.00087031,             0.00087031
                    133,                0.50173,                0.84153,                0.98494,                0.98189,                0.75811,                0.87891,                0.74696,                0.68923,                0.85675,                 1.1127,             0.00086932,             0.00086932,             0.00086932
                    134,                0.51942,                0.85271,                0.97302,                0.99035,                0.76006,                0.87364,                0.72637,                0.69513,                0.83395,                 1.1225,             0.00086833,             0.00086833,             0.00086833
                    135,                0.47738,                 0.8078,                0.95317,                0.93882,                0.81298,                0.88385,                 0.7443,                0.67885,                 0.7921,                 1.1033,             0.00086734,             0.00086734,             0.00086734
                    136,                0.48316,                0.81862,                0.97774,                0.97794,                0.78323,                0.88309,                0.74223,                 0.6821,                0.78658,                 1.0972,             0.00086635,             0.00086635,             0.00086635
                    137,                0.47315,                0.80461,                0.96065,                0.97836,                0.77931,                0.97155,                0.82396,                 0.6924,                0.79833,                 1.1019,             0.00086536,             0.00086536,             0.00086536
                    138,                0.52082,                 0.8264,                0.98192,                0.97817,                0.77828,                0.91079,                0.76531,                0.70976,                0.77901,                 1.1172,             0.00086437,             0.00086437,             0.00086437
                    139,                0.50725,                0.81059,                0.98916,                0.97083,                0.78956,                0.89006,                0.74311,                0.70524,                0.78968,                 1.1166,             0.00086338,             0.00086338,             0.00086338
                    140,                0.49977,                0.81494,                0.96662,                0.96707,                0.78931,                0.89007,                 0.7453,                0.69525,                0.78424,                    1.1,             0.00086239,             0.00086239,             0.00086239
                    141,                 0.4967,                0.83988,                0.96959,                  0.921,                0.81536,                0.89006,                0.74948,                0.68459,                0.78671,                 1.0955,              0.0008614,              0.0008614,              0.0008614
                    142,                0.48337,                0.79882,                0.95811,                0.73821,                0.96856,                0.90663,                0.76515,                0.68779,                0.78136,                    1.1,             0.00086041,             0.00086041,             0.00086041
                    143,                0.50466,                0.82518,                0.97912,                0.74348,                0.95711,                0.91079,                0.76742,                0.70294,                0.79435,                 1.1139,             0.00085942,             0.00085942,             0.00085942
                    144,                0.51125,                  0.826,                 0.9835,                0.96622,                0.77755,                 0.8797,                0.74204,                0.69652,                0.82392,                 1.1138,             0.00085843,             0.00085843,             0.00085843
                    145,                0.48735,                0.80733,                0.95877,                0.96424,                0.77974,                0.87969,                0.73989,                0.69298,                0.83126,                 1.1122,             0.00085744,             0.00085744,             0.00085744
                    146,                0.49057,                0.80715,                0.96849,                0.95512,                0.79172,                0.87969,                0.73508,                0.68931,                0.82181,                 1.1193,             0.00085645,             0.00085645,             0.00085645
                    147,                0.52124,                0.87218,                0.99257,                  0.958,                0.76225,                0.87399,                0.73126,                0.69753,                 0.8666,                 1.1162,             0.00085546,             0.00085546,             0.00085546
                    148,                0.47794,                0.81785,                 0.9525,                0.73206,                0.94463,                0.88436,                0.75718,                0.68349,                0.86747,                 1.1041,             0.00085447,             0.00085447,             0.00085447
                    149,                0.49921,                   0.79,                0.96853,                0.93817,                0.75266,                0.87399,                0.73496,                0.67517,                0.85137,                 1.0926,             0.00085348,             0.00085348,             0.00085348
